Name,Profile,Memory_footprint,SM_usage,Duration
Conv,1,0,784,671648
BatchNorm,0,0,512,271200
void at::native::vectorized_elementwise_kernel,0,0,3136,249888
void at::native::(anonymous namespace)::max_pool_forward_nchw,1,0,3136,225472
Conv,1,0,196,97696
BatchNorm,0,0,512,67808
void at::native::vectorized_elementwise_kernel,0,0,784,63936
Conv,1,0,896,395488
BatchNorm,0,0,512,67808
void at::native::vectorized_elementwise_kernel,0,0,784,64000
Conv,1,0,784,311488
BatchNorm,0,0,2048,259616
Conv,1,0,784,315296
BatchNorm,0,0,2048,259712
void at::native::vectorized_elementwise_kernel,0,0,3136,363136
void at::native::vectorized_elementwise_kernel,0,0,3136,249248
Conv,1,0,196,282432
BatchNorm,0,0,512,67968
void at::native::vectorized_elementwise_kernel,0,0,784,63904
Conv,1,0,896,394304
BatchNorm,0,0,512,67872
void at::native::vectorized_elementwise_kernel,0,0,784,64064
Conv,1,0,784,313600
BatchNorm,0,0,2048,260000
void at::native::vectorized_elementwise_kernel,0,0,3136,363584
void at::native::vectorized_elementwise_kernel,0,0,3136,249344
Conv,1,0,196,305856
BatchNorm,0,0,512,67808
void at::native::vectorized_elementwise_kernel,0,0,784,64256
Conv,1,0,896,397504
BatchNorm,0,0,512,67968
void at::native::vectorized_elementwise_kernel,0,0,784,64480
Conv,1,0,784,316864
BatchNorm,0,0,2048,259680
void at::native::vectorized_elementwise_kernel,0,0,3136,363200
void at::native::vectorized_elementwise_kernel,0,0,3136,248864
Conv,1,0,392,540832
BatchNorm,0,0,1024,131680
void at::native::vectorized_elementwise_kernel,0,0,1568,126048
Conv,1,0,98,623904
BatchNorm,0,0,512,35968
void at::native::vectorized_elementwise_kernel,0,0,392,33152
Conv,1,0,392,302912
BatchNorm,0,0,2048,132672
Conv,1,0,392,580960
BatchNorm,0,0,2048,132512
void at::native::vectorized_elementwise_kernel,0,0,1568,182592
void at::native::vectorized_elementwise_kernel,0,0,1568,125824
Conv,1,0,98,432512
BatchNorm,0,0,512,35648
void at::native::vectorized_elementwise_kernel,0,0,392,33088
Conv,1,0,234,171392
BatchNorm,0,0,512,36032
void at::native::vectorized_elementwise_kernel,0,0,392,33376
Conv,1,0,392,438848
BatchNorm,0,0,2048,133152
void at::native::vectorized_elementwise_kernel,0,0,1568,182560
