Name,Profile,Memory_footprint,SM_usage,Duration
BatchNorm,0,0,60,6432
void at::native::vectorized_elementwise_kernel,-1,0,12,3776
void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel,0,0,46,6336
BatchNorm,0,0,60,6528
void at::native::vectorized_elementwise_kernel,-1,0,12,3712
Conv,1,0,2,83264
BatchNorm,0,0,10,3712
void at::native::vectorized_elementwise_kernel,0,0,2,2816
Conv,1,0,8,24384
BatchNorm,0,0,60,6432
void at::native::vectorized_elementwise_kernel,-1,0,12,3680
void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel,0,0,46,6240
BatchNorm,0,0,60,6464
void at::native::vectorized_elementwise_kernel,-1,0,12,3680
Conv,1,0,3,85056
BatchNorm,0,0,20,4288
Conv,1,0,10,37408
BatchNorm,0,0,80,7488
void at::native::vectorized_elementwise_kernel,-1,0,16,3648
void at::native::reduce_kernel,0,0,40,7520
void at::native::elementwise_kernel,-1,0,1,4064
void gemmSN_TN_kernel,0,0,11,21248
